actually;en fait, en réalité
afterwards;après/par la suite
ahead;devant
all the same;quand même
altogether;complètement, en tout
always;toujours
anyway;en tous cas, de toute façon
automatically;automatiquement
basically;fondamentalement
behind;derrière
below;au dessous de
besides;d'ailleurs
briefly;brièvement
carefully;soigneusement
certainly;certainement
clearly;clairement
closely;de près, avec attention
completely;complètement
constantly;constamment, sans cesse
currently;actuellement
daily;quotidien, journalier
deeply;profondément
definitely;absolument
deliberately;délibérément
directly;directement
early;tôt, de bonne heure, en avance
easily;facilement
effectively;efficacement
elsewhere;autre part
enough;assez
equally;également
especially;notamment
essentially;essentiellement
eventually;finalement/en fin de compte/ un jou / à terme
everywhere;partout
exactly;exactement
extremely;extrêmement
fairly;assez / équitablement
finally;enfin
frequently;fréquemment
fully;pleinement
furthermore / moreover;de plus, en outre
generally;généralement
gently;doucement
greatly;très
hardly;à peine
highly;très, hautement
honestly;honnêtement
hopefully;espérons-le
however;toutefois, cependant
immediately;immédiatement
initially;initialement
instead;au lieu de cela / à la place / plutôt
likely;probablement
literally;littéralement
mainly;principalement
merely;seulement
moreover;de plus
mostly;la plupart
naturally;naturellement
nearly;presque
necessarily;nécessairement
nevertheless;néanmoins
normally;normalement
obviously;évidemment
occasionally;parfois, de temps en temps
originally;initialement
otherwise;sinon
perfectly;à la perfection
personally;personnellement
physically;physiquement
possibly;peut-être
previously;précédemment
probably;probablement
properly;correctement
quickly;rapidement
rarely;rarement
rather;plutôt
readily;volontier, aisément
recently;récemment
regularly;régulièrement
relatively;relativement
roughly;grossièrement / à peu près
seriously;sérieusement
significantly;significativement, sensiblement
similarly;de même, de la même façon
simply;simplement
slightly;légèrement, un peu
slowly;lentement
somehow;pour une raison ou pour une autre
somewhat;quelque peu
specifically;plus précisément
strongly;fortement
successfully;avec succès
suddenly;soudainement
terribly;terriblement
though (en fin de phrase);pourtant (it's not difficult though. ce n'est pas difficile pourtant)
thus;ainsi/donc
together;ensemble
totally;totalement
truly;vraiment
twice;deux fois
ultimately;en fin de compte
unfortunately;malheureusement
upstairs;en haut
usually;d'habitude
utterly;complètement
virtually;virtuellement
weekly ;chaque semaine
widely;largement